WELL,DEPTH,FACIES,FORMATION,GR,HC,ILD,NPHI,PERM,PHIE,RHOB,SW,VSH
15/9-F-14,3060.0,F-MOUTHBAR,Hugin Fm,19.0569,0.0,2.0493,0.1497,1.07985,0.12895,2.5105,1.0,0.041113
15/9-F-14,3062.5,F-MOUTHBAR,Hugin Fm,16.2893,0.0,2.0143,0.1469,1.19396,0.133227,2.5014,1.0,0.0186122
15/9-F-14,3065.0,F-MOUTHBAR,Hugin Fm,13.6088,0.0,2.0008,0.1486,1.3946,0.139063,2.4936,1.0,0.0
15/9-F-14,3067.5,F-MOUTHBAR,Hugin Fm,14.022,0.0,1.9334,0.1475,1.35089,0.138071,2.495,1.0,1.78864E-4
15/9-F-14,3070.0,F-MOUTHBAR,Hugin Fm,14.2265,0.0,1.9927,0.1491,1.27003,0.13609,2.5053,1.0,0.00184146
15/9-F-14,3072.5,F-MOUTHBAR,Hugin Fm,15.8528,0.0,2.0667,0.1459,1.01828,0.128804,2.519,1.0,0.0150634
15/9-F-14,3075.0,F-MOUTHBAR,Hugin Fm,16.7264,0.0,2.1494,0.1461,0.852742,0.123427,2.5364,1.0,0.0221659
15/9-F-14,3077.5,F-MOUTHBAR,Hugin Fm,19.2362,0.0,2.1394,0.1405,0.642225,0.11481,2.5459,1.0,0.0425707
15/9-F-14,3080.0,F-MOUTHBAR,Hugin Fm,20.9528,0.0,2.1786,0.1396,0.563957,0.110816,2.5512,1.0,0.0565268
15/9-F-14,3082.5,F-MOUTHBAR,Hugin Fm,20.9428,0.0,2.2812,0.1295,0.469122,0.106377,2.5465,1.0,0.0564455
15/9-F-14,3085.0,F-MOUTHBAR,Hugin Fm,18.7021,0.0,2.4389,0.128,0.478205,0.107743,2.5493,1.0,0.0382285
15/9-F-14,3087.5,F-MOUTHBAR,Hugin Fm,17.0172,0.0,2.528,0.1271,0.503061,0.109651,2.5483,1.0,0.0245301
15/9-F-14,3090.0,F-MOUTHBAR,Hugin Fm,18.3406,0.0,2.4937,0.1246,0.437312,0.105768,2.5515,1.0,0.0352894
15/9-F-14,3092.5,F-TIDAL BAR,Hugin Fm,19.6752,0.0,2.5023,0.127,0.445775,0.105686,2.5503,1.0,0.0461398
15/9-F-14,3095.0,F-TIDAL BAR,Hugin Fm,21.5677,0.0,2.394,0.1267,0.419715,0.10353,2.5484,1.0,0.061526
15/9-F-14,3097.5,F-TIDAL BAR,Hugin Fm,20.809,0.0,2.3645,0.1322,0.51941,0.108868,2.5432,1.0,0.0553577
15/9-F-14,3100.0,F-TIDAL CHANNEL,Hugin Fm,21.1366,0.0,2.3275,0.1328,0.571161,0.11105,2.5339,1.0,0.0580211
15/9-F-14,3102.5,F-TIDAL CHANNEL,Hugin Fm,19.2826,0.0,2.2562,0.1399,0.733123,0.118216,2.5306,1.0,0.042948
15/9-F-14,3105.0,F-TIDAL CHANNEL,Hugin Fm,18.5844,0.0,2.1808,0.1437,0.899983,0.124054,2.5192,1.0,0.0372715
15/9-F-14,3107.5,F-TIDAL CHANNEL,Hugin Fm,18.1183,0.0,2.0794,0.1437,0.863243,0.123125,2.5253,1.0,0.0334821
