WELL,DEPTH,HC,prediction,prediction_correct
15/9-F-1,3540.9,,,
15/9-F-1,3541.3,,,
15/9-F-1,3541.4,,,
15/9-F-1,3542.8,,,
15/9-F-1,3543.2,,,
15/9-F-1,3543.3,,,
15/9-F-1,3545.1,,,
15/9-F-1,3545.3,,,
15/9-F-1,3545.5,,,
15/9-F-1,3545.9,,,
15/9-F-1,3546.3,,,
15/9-F-1,3547.3,,,
15/9-F-1,3547.7,,,
15/9-F-1,3548.0,,,
15/9-F-1,3548.9,,,
15/9-F-1,3550.7,,,
15/9-F-1,3551.2,,,
15/9-F-1,3551.4,,,
15/9-F-1,3551.6,,,
15/9-F-1,3551.7,,,
15/9-F-1,3552.0,,,
15/9-F-1,3552.6,,,
15/9-F-1,3552.9,,,
15/9-F-1,3553.5,,,
15/9-F-1,3553.7,,,
15/9-F-1,3554.4,,,
15/9-F-1,3556.0,,,
15/9-F-1,3557.0,,,
15/9-F-1,3557.7,,,
15/9-F-1,3558.2,,,
15/9-F-1,3558.8,,,
15/9-F-1,3559.5,,,
15/9-F-1,3560.0,,,
15/9-F-1,3560.5,,,
15/9-F-1,3560.8,,,
15/9-F-1,3561.7,,,
15/9-F-1,3561.8,,,
15/9-F-1,3563.7,,,
15/9-F-1,3564.1,,,
15/9-F-1,3565.1,,,
15/9-F-1,3565.3,,,
15/9-F-1,3566.5,,,
15/9-F-1,3566.8,,,
15/9-F-1,3567.5,,,
15/9-F-1,3568.1,,,
15/9-F-1,3568.8,,,
15/9-F-1,3569.0,,,
15/9-F-1,3569.8,,,
15/9-F-1,3570.4,,,
15/9-F-1,3570.5,,,
15/9-F-1,3570.7,,,
15/9-F-1,3571.0,,,
15/9-F-1,3571.5,,,
15/9-F-1,3573.0,,,
15/9-F-1,3573.9,,,
15/9-F-1,3574.0,,,
15/9-F-1,3574.8,,,
15/9-F-1,3575.4,,,
15/9-F-1,3575.6,,,
15/9-F-1,3575.8,,,
15/9-F-1,3576.2,,,
15/9-F-1,3576.5,,,
15/9-F-1,3576.6,,,
15/9-F-1,3576.7,,,
15/9-F-1,3576.8,,,
15/9-F-1,3577.3,,,
15/9-F-1,3577.5,,,
15/9-F-1,3577.7,,,
15/9-F-1,3577.8,,,
15/9-F-1,3577.9,,,
15/9-F-1,3578.6,,,
15/9-F-1,3578.8,,,
15/9-F-1,3578.9,,,
15/9-F-1,3579.4,,,
15/9-F-1,3580.0,,,
15/9-F-1,3580.1,,,
15/9-F-1,3580.4,,,
15/9-F-1,3580.6,,,
15/9-F-1,3582.0,,,
15/9-F-1,3582.5,,,
15/9-F-1,3583.8,,,
15/9-F-1,3584.3,,,
15/9-F-1,3584.5,,,
