DEPTH,GR,ILD,NPHI,RHOB,WELL
3492.0,15.7691,4.4893,0.0936,2.5664,15/9-F-4
3492.5,15.0007,4.4264,0.101,2.5544,15/9-F-4
3493.0,13.9888,4.0976,0.1056,2.5418,15/9-F-4
3493.5,13.7422,3.9318,0.107,2.5276,15/9-F-4
3494.0,14.2538,4.0101,0.1178,2.5189,15/9-F-4
3494.5,14.505,3.5175,0.1265,2.5178,15/9-F-4
3495.0,14.8817,3.4417,0.1292,2.4958,15/9-F-4
3495.5,14.279,3.0322,0.1438,2.4847,15/9-F-4
3496.0,14.3153,3.1912,0.1449,2.4769,15/9-F-4
3496.5,13.7737,2.9532,0.1412,2.4872,15/9-F-4
3497.0,13.2782,2.7979,0.1421,2.4966,15/9-F-4
3497.5,12.545,2.8102,0.1287,2.4997,15/9-F-4
3498.0,11.9347,2.9144,0.1322,2.5028,15/9-F-4
3498.5,11.9058,2.9308,0.1247,2.5149,15/9-F-4
3499.0,12.4583,2.9018,0.1138,2.5265,15/9-F-4
3499.5,13.0045,2.7672,0.1154,2.5336,15/9-F-4
3500.0,13.497,2.7496,0.1192,2.5278,15/9-F-4
3500.5,14.81,2.898,0.1154,2.5276,15/9-F-4
3501.0,14.9809,3.1229,0.1148,2.53,15/9-F-4
3501.5,14.2202,3.1004,0.1108,2.5295,15/9-F-4
3502.0,13.5366,2.9999,0.1177,2.5272,15/9-F-4
3502.5,14.0611,2.9358,0.1136,2.5224,15/9-F-4
3503.0,14.6616,2.8694,0.1164,2.5131,15/9-F-4
3503.5,14.1201,2.7992,0.1337,2.5036,15/9-F-4
3504.0,12.9243,2.7116,0.1312,2.4978,15/9-F-4
3504.5,13.4288,2.6969,0.135,2.4907,15/9-F-4
3505.0,13.7976,2.6332,0.1346,2.4929,15/9-F-4
3505.5,14.4659,2.5143,0.1382,2.4989,15/9-F-4
3506.0,13.6833,2.5032,0.1324,2.5106,15/9-F-4
3506.5,13.9412,2.4999,0.1257,2.5177,15/9-F-4
3507.0,12.9254,2.5922,0.1201,2.5208,15/9-F-4
3507.5,13.4178,2.602,0.1219,2.5262,15/9-F-4
3508.0,12.5173,2.595,0.1171,2.5307,15/9-F-4
3508.5,13.8507,2.6741,0.1092,2.5447,15/9-F-4
3509.0,13.6435,2.7552,0.1013,2.5439,15/9-F-4
3509.5,13.5205,2.946,0.1003,2.552,15/9-F-4
3510.0,12.4027,3.0301,0.1004,2.5501,15/9-F-4
3510.5,12.0204,3.0979,0.1016,2.5598,15/9-F-4
3511.0,11.6344,3.2075,0.0984,2.5564,15/9-F-4
3511.5,11.8846,3.149,0.096,2.5536,15/9-F-4
3512.0,12.4233,3.3471,0.0998,2.5523,15/9-F-4
3512.5,13.9564,3.2316,0.1009,2.5508,15/9-F-4
3513.0,14.641,3.0469,0.1056,2.5554,15/9-F-4
3513.5,14.1047,3.3935,0.1051,2.5589,15/9-F-4
3514.0,12.9107,3.6033,0.0939,2.566,15/9-F-4
3514.5,11.8792,3.8011,0.0841,2.5802,15/9-F-4
3515.0,11.7436,4.0278,0.0806,2.5906,15/9-F-4
3515.5,11.8134,4.405,0.0851,2.5891,15/9-F-4
3516.0,11.6415,4.3458,0.0815,2.5666,15/9-F-4
3516.5,11.1327,4.4846,0.0765,2.5495,15/9-F-4
3517.0,9.5533,4.8911,0.0794,2.5364,15/9-F-4
3517.5,8.1732,4.7911,0.0925,2.5289,15/9-F-4
3518.0,7.221,4.6537,0.0943,2.5261,15/9-F-4
3518.5,6.6935,4.586,0.0956,2.5296,15/9-F-4
3519.0,6.8423,4.6801,0.0942,2.5485,15/9-F-4
3519.5,6.7032,5.1205,0.0895,2.5576,15/9-F-4
3520.0,7.279,5.4874,0.0773,2.5691,15/9-F-4
3520.5,6.9357,5.9366,0.0742,2.5715,15/9-F-4
3521.0,7.7916,6.1695,0.0741,2.5895,15/9-F-4
3521.5,8.1329,6.3684,0.072,2.5948,15/9-F-4
3522.0,8.0627,6.474,0.0651,2.6038,15/9-F-4
3522.5,7.0189,6.5711,0.063,2.5912,15/9-F-4
3523.0,6.7602,7.004,0.069,2.5985,15/9-F-4
3523.5,7.0728,7.1719,0.0681,2.5943,15/9-F-4
3524.0,7.8413,6.8406,0.066,2.6008,15/9-F-4
3524.5,8.9533,6.667,0.0665,2.5927,15/9-F-4
3525.0,9.748,6.5153,0.0691,2.5935,15/9-F-4
3525.5,9.868,6.0371,0.0662,2.5849,15/9-F-4
3526.0,8.4976,6.0135,0.0619,2.5859,15/9-F-4
3526.5,8.0075,6.0277,0.0708,2.586,15/9-F-4
3527.0,8.4198,5.7278,0.0718,2.5876,15/9-F-4
3527.5,8.5209,5.6547,0.0776,2.5696,15/9-F-4
3528.0,9.0448,5.3451,0.0784,2.5584,15/9-F-4
3528.5,7.9745,4.927,0.0896,2.5522,15/9-F-4
3529.0,7.8235,4.5529,0.0925,2.5535,15/9-F-4
3529.5,7.7691,4.6498,0.0945,2.5448,15/9-F-4
3530.0,7.6302,4.6753,0.0994,2.5415,15/9-F-4
3530.5,7.8569,4.7838,0.0954,2.5561,15/9-F-4
3531.0,7.9392,5.0537,0.0877,2.5583,15/9-F-4
3531.5,8.4802,4.9822,0.0849,2.5628,15/9-F-4
3532.0,8.3195,5.4523,0.0844,2.5571,15/9-F-4
3532.5,8.3941,5.5943,0.0783,2.5598,15/9-F-4
3533.0,8.2904,5.8912,0.0808,2.564,15/9-F-4
3533.5,8.5102,6.2487,0.0788,2.5762,15/9-F-4
3534.0,7.8861,7.0488,0.07,2.5844,15/9-F-4
3534.5,7.5032,7.9745,0.0611,2.5958,15/9-F-4
3535.0,7.3548,7.9214,0.0643,2.5969,15/9-F-4
3535.5,7.5319,7.9089,0.0623,2.5991,15/9-F-4
3536.0,8.0058,8.1677,0.0634,2.5873,15/9-F-4
