DEPTH,GR,NPHI,RHOB,ILD,WELL,SW,PHIE,VSH,PERM
FEET,GAPI,V/V,G/C3,OHMM,,V/V,V/V,V/V,MD
15990.5,14.7497,0.127956,2.4906,2.4008,15/9-F-10,0.926553,0.121075,0.031455,0.928473
15991,14.0448,0.126432,2.5096,2.4294,15/9-F-10,0.96847,0.115747,0.0267868,0.687406
15991.5,12.0606,0.137441,2.5199,2.4598,15/9-F-10,0.907962,0.122847,0.0136464,0.995273
15992,10.858,0.128641,2.5098,2.4801,15/9-F-10,0.900527,0.12236,0.00568212,0.977973
15992.5,10.6943,0.141735,2.4895,2.491,15/9-F-10,0.825705,0.1351,0.00459801,1.81262
15993,11.6182,0.143069,2.4704,2.5291,15/9-F-10,0.797062,0.139085,0.0107166,2.24456
15993.5,11.3523,0.130799,2.47,2.5796,15/9-F-10,0.824083,0.134411,0.00895563,1.79404
15994,11.7986,0.133782,2.4802,2.6106,15/9-F-10,0.837255,0.131464,0.0119113,1.5824
15994.5,11.6324,0.119521,2.5004,2.6802,15/9-F-10,0.919168,0.118867,0.0108106,0.832568
15995,12.1562,0.137332,2.5195,2.6897,15/9-F-10,0.887892,0.122726,0.0142795,1.0375
15995.5,11.7446,0.126917,2.52,2.7593,15/9-F-10,0.902435,0.117397,0.0115536,0.817942
15996,12.3333,0.114833,2.5199,2.7104,15/9-F-10,0.975823,0.109363,0.0154523,0.51251
15996.5,12.973,0.13932,2.5098,2.7804,15/9-F-10,0.824416,0.124881,0.0196887,1.31587
15997,14.0684,0.121222,2.5003,2.7994,15/9-F-10,0.878088,0.115965,0.026943,0.843567
15997.5,13.5672,0.119319,2.5099,2.8691,15/9-F-10,0.910501,0.112644,0.0236238,0.683739
15998,14.13,0.1309,2.52,3.01,15/9-F-10,0.872682,0.115669,0.027351,0.845005
15998.5,14.9506,0.115123,2.5402,3.1325,15/9-F-10,0.98991,0.100315,0.0327854,0.349875
15999,17.7033,0.116361,2.5497,3.2658,15/9-F-10,1.00511,0.0941641,0.0510152,0.267896
15999.5,19.1873,0.120336,2.5697,3.27,15/9-F-10,1.04003,0.0893341,0.060843,0.215825
16000,21.26,0.1268,2.57,3.37,15/9-F-10,0.99495,0.089473,0.0745695,0.226112
16000.5,21.3885,0.115976,2.5797,3.3884,15/9-F-10,1.09626,0.0808582,0.0754205,0.142191
16001,21.8929,0.11468,2.5597,3.2903,15/9-F-10,1.05898,0.0837593,0.0787609,0.167843
16001.5,21.35,0.120395,2.5502,3.2998,15/9-F-10,1.0022,0.0902363,0.0751656,0.232856
16002,21.27,0.1085,2.54,3.25,15/9-F-10,1.06041,0.0863082,0.0746358,0.190375
16002.5,21.6997,0.119288,2.5199,3.2292,15/9-F-10,0.913931,0.0970316,0.0774815,0.388448
16003,20.8803,0.118395,2.51,3.1697,15/9-F-10,0.885002,0.101233,0.072055,0.495469
16003.5,18.8134,0.118204,2.51,3.1602,15/9-F-10,0.908211,0.104267,0.0583669,0.521832
16004,14.7118,0.114918,2.5199,3.2396,15/9-F-10,0.910206,0.105683,0.031204,0.521533
16004.5,12.6057,0.11038,2.55,3.2411,15/9-F-10,0.985549,0.0992242,0.0172563,0.325494
16005,11.2985,0.108335,2.55,3.3415,15/9-F-10,0.920833,0.10024,0.00859934,0.383546
16005.5,12.0034,0.102048,2.55,3.3987,15/9-F-10,0.952652,0.0952911,0.0132675,0.28805
16006,12.149,0.105967,2.5401,3.5686,15/9-F-10,0.907935,0.0996658,0.0142318,0.388865
16006.5,13.2197,0.105163,2.5501,3.8322,15/9-F-10,0.943722,0.0950583,0.0213225,0.295112
16007,14.4162,0.100427,2.56,4.1027,15/9-F-10,0.991072,0.0879101,0.0292464,0.191313
16007.5,14.2542,0.093093,2.56,4.217,15/9-F-10,1.02095,0.0836539,0.0281735,0.149972
16008,14.8337,0.090625,2.56,4.2596,15/9-F-10,1.02498,0.0816635,0.0320113,0.135639
16008.5,13.9718,0.08978,2.5599,4.3301,15/9-F-10,1.0265,0.0826366,0.0263033,0.141393
16009,14.2792,0.08618,2.55,4.3508,15/9-F-10,1.00442,0.0838918,0.0283391,0.151953
16009.5,13.2886,0.08999,2.55,4.3889,15/9-F-10,0.977807,0.087062,0.0217788,0.185289
16010,13.6053,0.09454,2.55,4.3999,15/9-F-10,0.957283,0.088546,0.0238762,0.209493
16010.5,14.46,0.0931,2.54,4.41,15/9-F-10,0.931984,0.0899708,0.0295364,0.240261
16011,14.9905,0.091756,2.5296,4.4103,15/9-F-10,0.899822,0.0920421,0.0330497,0.287619
16011.5,15.0191,0.105662,2.5106,4.4294,15/9-F-10,0.795545,0.104427,0.0332391,0.649676
16012,13.7605,0.097539,2.5198,4.3611,15/9-F-10,0.839128,0.099725,0.024904,0.466516
16012.5,12.32,0.1031,2.53,4.35,15/9-F-10,0.836285,0.100863,0.0153642,0.484773
16013,10.3898,0.100634,2.54,4.3897,15/9-F-10,0.860723,0.0994857,0.00258146,0.419219
16013.5,9.1788,0.108573,2.54,4.3703,15/9-F-10,0.811021,0.104915,0,0.596626
16014,10.0932,0.098191,2.54,4.3798,15/9-F-10,0.854813,0.0987567,0.000617217,0.409584
16014.5,11.07,0.0961,2.54,4.39,15/9-F-10,0.879213,0.0963955,0.00708609,0.351758
16015,12.0516,0.099468,2.5401,4.4097,15/9-F-10,0.868141,0.0963183,0.0135868,0.364244
16015.5,11.3808,0.097083,2.5503,4.3905,15/9-F-10,0.906163,0.0932728,0.00914437,0.286724
