DEPTH,GR,NPHI,RHOB,RT,WELL
METERS,GAPI,V/V,G/C3,OHMM,
3486,131.209,0.1042,25.712,36.747,15/9-F-4
3486.5,136.288,0.0901,25.782,38.664,15/9-F-4
3487,109.109,0.0738,2.594,40.615,15/9-F-4
3487.5,81.361,0.0805,25.839,5.267,15/9-F-4
3488,66.206,0.0836,25.823,5.588,15/9-F-4
3488.5,6.663,0.066,2.574,58.524,15/9-F-4
3489,65.503,0.0651,25.796,65.962,15/9-F-4
3489.5,68.818,0.073,25.754,68.608,15/9-F-4
3490,90.684,0.0702,25.844,68.335,15/9-F-4
3490.5,119.062,0.0715,25.896,64.822,15/9-F-4
3491,14.722,0.0835,25.888,58.955,15/9-F-4
3491.5,158.101,0.0869,25.761,50.645,15/9-F-4
3492,157.691,0.0936,25.664,44.893,15/9-F-4
3492.5,150.007,0.101,25.544,44.264,15/9-F-4
3493,139.888,0.1056,25.418,40.976,15/9-F-4
3493.5,137.422,0.107,25.276,39.318,15/9-F-4
3494,142.538,0.1178,25.189,40.101,15/9-F-4
3494.5,14.505,0.1265,25.178,35.175,15/9-F-4
3495,148.817,0.1292,24.958,34.417,15/9-F-4
3495.5,14.279,0.1438,24.847,30.322,15/9-F-4
3496,143.153,0.1449,24.769,31.912,15/9-F-4
3496.5,137.737,0.1412,24.872,29.532,15/9-F-4
3497,132.782,0.1421,24.966,27.979,15/9-F-4
3497.5,12.545,0.1287,24.997,28.102,15/9-F-4
3498,119.347,0.1322,25.028,29.144,15/9-F-4
3498.5,119.058,0.1247,25.149,29.308,15/9-F-4
3499,124.583,0.1138,25.265,29.018,15/9-F-4
3499.5,130.045,0.1154,25.336,27.672,15/9-F-4
3500,13.497,0.1192,25.278,27.496,15/9-F-4
3500.5,14.81,0.1154,25.276,2.898,15/9-F-4
3501,149.809,0.1148,2.53,31.229,15/9-F-4
3501.5,142.202,0.1108,25.295,31.004,15/9-F-4
3502,135.366,0.1177,25.272,29.999,15/9-F-4
3502.5,140.611,0.1136,25.224,29.358,15/9-F-4
3503,146.616,0.1164,25.131,28.694,15/9-F-4
3503.5,141.201,0.1337,25.036,27.992,15/9-F-4
3504,129.243,0.1312,24.978,27.116,15/9-F-4
3504.5,134.288,0.135,24.907,26.969,15/9-F-4
3505,137.976,0.1346,24.929,26.332,15/9-F-4
3505.5,144.659,0.1382,24.989,25.143,15/9-F-4
3506,136.833,0.1324,25.106,25.032,15/9-F-4
3506.5,139.412,0.1257,25.177,24.999,15/9-F-4
3507,129.254,0.1201,25.208,25.922,15/9-F-4
3507.5,134.178,0.1219,25.262,2.602,15/9-F-4
3508,125.173,0.1171,25.307,2.595,15/9-F-4
3508.5,138.507,0.1092,25.447,26.741,15/9-F-4
3509,136.435,0.1013,25.439,27.552,15/9-F-4
3509.5,135.205,0.1003,2.552,2.946,15/9-F-4
3510,124.027,0.1004,25.501,30.301,15/9-F-4
3510.5,120.204,0.1016,25.598,30.979,15/9-F-4
3511,116.344,0.0984,25.564,32.075,15/9-F-4
3511.5,118.846,0.096,25.536,3.149,15/9-F-4
3512,124.233,0.0998,25.523,33.471,15/9-F-4
3512.5,139.564,0.1009,25.508,32.316,15/9-F-4
3513,14.641,0.1056,25.554,30.469,15/9-F-4
3513.5,141.047,0.1051,25.589,33.935,15/9-F-4
3514,129.107,0.0939,2.566,36.033,15/9-F-4
3514.5,118.792,0.0841,25.802,38.011,15/9-F-4
3515,117.436,0.0806,25.906,40.278,15/9-F-4
3515.5,118.134,0.0851,25.891,4.405,15/9-F-4
3516,116.415,0.0815,25.666,43.458,15/9-F-4
3516.5,111.327,0.0765,25.495,44.846,15/9-F-4
3517,95.533,0.0794,25.364,48.911,15/9-F-4
3517.5,81.732,0.0925,25.289,47.911,15/9-F-4
3518,7.221,0.0943,25.261,46.537,15/9-F-4
3518.5,66.935,0.0956,25.296,4.586,15/9-F-4
3519,68.423,0.0942,25.485,46.801,15/9-F-4
3519.5,67.032,0.0895,25.576,51.205,15/9-F-4
3520,7.279,0.0773,25.691,54.874,15/9-F-4
3520.5,69.357,0.0742,25.715,59.366,15/9-F-4
3521,77.916,0.0741,25.895,61.695,15/9-F-4
3521.5,81.329,0.072,25.948,63.684,15/9-F-4
3522,80.627,0.0651,26.038,6.474,15/9-F-4
3522.5,70.189,0.063,25.912,65.711,15/9-F-4
3523,67.602,0.069,25.985,7.004,15/9-F-4
3523.5,70.728,0.0681,25.943,71.719,15/9-F-4
3524,78.413,0.066,26.008,68.406,15/9-F-4
3524.5,89.533,0.0665,25.927,6.667,15/9-F-4
3525,9.748,0.0691,25.935,65.153,15/9-F-4
3525.5,9.868,0.0662,25.849,60.371,15/9-F-4
3526,84.976,0.0619,25.859,60.135,15/9-F-4
3526.5,80.075,0.0708,2.586,60.277,15/9-F-4
3527,84.198,0.0718,25.876,57.278,15/9-F-4
3527.5,85.209,0.0776,25.696,56.547,15/9-F-4
3528,90.448,0.0784,25.584,53.451,15/9-F-4
3528.5,79.745,0.0896,25.522,4.927,15/9-F-4
3529,78.235,0.0925,25.535,45.529,15/9-F-4
3529.5,77.691,0.0945,25.448,46.498,15/9-F-4
3530,76.302,0.0994,25.415,46.753,15/9-F-4
3530.5,78.569,0.0954,25.561,47.838,15/9-F-4
3531,79.392,0.0877,25.583,50.537,15/9-F-4
3531.5,84.802,0.0849,25.628,49.822,15/9-F-4
3532,83.195,0.0844,25.571,54.523,15/9-F-4
3532.5,83.941,0.0783,25.598,55.943,15/9-F-4
3533,82.904,0.0808,2.564,58.912,15/9-F-4
3533.5,85.102,0.0788,25.762,62.487,15/9-F-4
3534,78.861,0.07,25.844,70.488,15/9-F-4
3534.5,75.032,0.0611,25.958,79.745,15/9-F-4
3535,73.548,0.0643,25.969,79.214,15/9-F-4
3535.5,75.319,0.0623,25.991,79.089,15/9-F-4
3536,80.058,0.0634,25.873,81.677,15/9-F-4
3536.5,77.331,0.0675,25.842,7.897,15/9-F-4
3537,75.982,0.0621,25.903,74.953,15/9-F-4
3537.5,68.144,0.0604,26.044,81.688,15/9-F-4
3538,77.065,0.0605,26.147,88.827,15/9-F-4
3538.5,76.446,0.0566,26.193,87.227,15/9-F-4
3539,84.347,0.0549,26.153,86.802,15/9-F-4
3539.5,80.419,0.0572,26.006,89.707,15/9-F-4
3540,79.766,0.059,26.011,8.935,15/9-F-4
3540.5,82.263,0.0574,25.935,89.724,15/9-F-4
3541,83.265,0.0595,26.065,90.339,15/9-F-4
3541.5,9.26,0.0594,25.928,88.123,15/9-F-4
3542,95.215,0.0528,26.038,94.988,15/9-F-4
3542.5,98.347,0.049,2.605,78.981,15/9-F-4
3543,95.028,0.0526,26.175,96.878,15/9-F-4
3543.5,9.862,0.0587,26.083,8.766,15/9-F-4
3544,106.842,0.0595,2.606,75.971,15/9-F-4
3544.5,112.869,0.0573,26.117,69.824,15/9-F-4
3545,101.749,0.0569,26.298,79.907,15/9-F-4
3545.5,88.343,0.0515,26.236,91.875,15/9-F-4
3546,7.845,0.0503,26.239,94.617,15/9-F-4
3546.5,75.853,0.0516,26.196,95.481,15/9-F-4
3547,72.153,0.0504,26.237,95.502,15/9-F-4
3547.5,63.307,0.0536,26.129,92.334,15/9-F-4
3548,6.737,0.0563,26.104,89.755,15/9-F-4
3548.5,68.335,0.0562,26.098,87.722,15/9-F-4
3549,74.812,0.053,26.091,8.684,15/9-F-4
3549.5,69.112,0.051,25.973,83.145,15/9-F-4
3550,70.231,0.0518,25.988,78.706,15/9-F-4
3550.5,69.134,0.0604,2.587,72.424,15/9-F-4
3551,69.222,0.0651,25.844,64.645,15/9-F-4
3551.5,72.485,0.0719,25.486,56.461,15/9-F-4
